,Unnamed: 0,id,title,artist,company,date_released,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
90,90,35OjjtMHKnPdOAsEZ6M9OA,The Magic of Christmas Time,TAEYEON,SM,2017-12-12,0.575,0.33,3,-7.95,1,0.898,2.19e-06,0.204,0.396,91.689,167456,3
91,91,6eAMa0e7WCbjM7ivbAhvkq,This Christmas,TAEYEON,SM,2017-12-12,0.413,0.464,5,-5.736,1,0.646,0.0,0.294,0.341,129.26,267251,4
92,92,752AmSeOh3T48yWd8OogC6,Let It Snow,TAEYEON,SM,2017-12-12,0.498,0.854,8,-2.31,1,0.315,0.0,0.12,0.418,119.508,197984,4
93,93,1SO3jE0lOysjtylF6y3FWt,Candy Cane,TAEYEON,SM,2017-12-12,0.604,0.848,5,-3.375,1,0.194,0.0,0.142,0.676,141.956,204555,4
94,94,617cDTzVRFEwYPzi3FKaXT,Christmas without You,TAEYEON,SM,2017-12-12,0.45,0.499,4,-6.567,0,0.648,0.0,0.111,0.285,177.908,259339,4
95,95,7KJUpJgGaQTdSq3L5StCfi,겨울나무 I’m all ears,TAEYEON,SM,2017-12-12,0.613,0.499,10,-6.323,1,0.594,0.0,0.0953,0.309,81.948,215101,4
96,96,3QtbPhZDz5tH830gBQAgFL,Shhhh,TAEYEON,SM,2017-12-12,0.532,0.521,0,-5.559,1,0.223,0.0,0.0523,0.381,73.313,228512,4
97,97,1bDlGmha5ZwP5bvz5EHMjS,Rescue Me,TAEYEON,SM,2017-11-02,0.57,0.717,5,-3.483,0,0.249,0.0,0.185,0.332,140.04,262000,4
98,98,1DKuD4ODc6SNwOaVzDoUlc,쟤 보지 마 U&I,SUNNY,SM,2017-09-15,0.478,0.529,11,-6.467,0,0.319,0.0,0.0675,0.619,201.799,201870,4
99,99,32yIszOf09IiMF5MJ8d88H,When The Wind Blows,YOONA,SM,2017-09-08,0.63,0.477,4,-8.508,1,0.539,0.000226,0.118,0.192,100.012,226169,4
0,0,0WG9TuJbzIwc5wddbQmfcv,Girls Are Back,Girls' Generation,SM,2017-08-04,0.662,0.928,8,-2.916,1,0.0557,0.00122,0.127,0.824,105.067,205785,4
1,1,1UwERmn5UogyCz6qo21BmA,All Night,Girls' Generation,SM,2017-08-04,0.777,0.807,9,-4.101,0,0.0308,2.93e-05,0.228,0.732,129.984,222894,4
2,2,1Bjy9ZtwMle3uhVgoBgiGN,Holiday,Girls' Generation,SM,2017-08-04,0.709,0.867,1,-3.258,1,0.0406,0.0,0.275,0.877,120.022,199563,4
3,3,6LUaidcmZGIXczdMtMbfZ9,FAN,Girls' Generation,SM,2017-08-04,0.593,0.878,2,-2.867,1,0.199,1.42e-05,0.316,0.52,97.993,230635,4
4,4,6Wm9796jCPAQfplIM0Q7hF,Only One,Girls' Generation,SM,2017-08-04,0.49,0.931,4,-4.681,1,0.049,3.58e-06,0.395,0.247,191.682,195631,4
5,5,4N8bc3QFJJcVwXRu4rcEQO,One Last Time,Girls' Generation,SM,2017-08-04,0.692,0.602,7,-5.096,1,0.0667,0.0,0.108,0.521,111.068,214251,4
6,6,3x5mGMf6oxKCHyAN4mXa8m,Sweet Talk,Girls' Generation,SM,2017-08-04,0.612,0.786,10,-4.281,0,0.275,0.0,0.0725,0.729,98.913,200541,4
7,7,5sksmysaBWQJ3yzEP1lXdt,Love Is Bitter,Girls' Generation,SM,2017-08-04,0.609,0.715,7,-4.121,0,0.351,0.0,0.155,0.672,129.964,218022,4
8,8,2o0tBYtr3tBBqesoZzHklI,오랜 소원 It's You,Girls' Generation,SM,2017-08-04,0.631,0.711,7,-5.16,1,0.038,0.0,0.131,0.407,92.014,232616,4
9,9,6wHaswVnTnXSIOiB8t0Rfq,Light Up the Sky,Girls' Generation,SM,2017-08-04,0.433,0.651,2,-5.957,1,0.125,0.0,0.229,0.378,171.882,241107,4
10,10,12mdismP79kAQrKDgdM4TC,Wannabe,HYOYEON,SM,2017-06-01,0.645,0.929,5,-2.0,0,0.138,0.0,0.269,0.815,150.021,182833,4
11,11,0AUxbbqFtXJGE7Fn3jkGX5,Make Me Love You,TAEYEON,SM,2017-04-05,0.274,0.736,0,-4.518,1,0.0288,0.0,0.104,0.191,193.468,213160,4
