,id,title,artist,company,date_released,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
34,6Grctu56Jwuuao5SxW64eS,DING DONG,TWICE,YG,2017-10-30,0.662,0.88,11,-3.248,1,0.0553,0.0,0.126,0.821,150.012,212117,4
35,6bfdTMqn8Rfw3N8jIIBzVL,24/7,TWICE,YG,2017-10-30,0.878,0.763,6,-4.117,1,0.0764,2.84e-05,0.403,0.546,123.048,215485,4
36,6pslMk3vdfvdeT3bUIKs32,날 바라바라봐 LOOK AT ME,TWICE,YG,2017-10-30,0.718,0.914,1,-3.365,1,0.163,0.0,0.0637,0.635,134.901,193144,4
37,3XLawYeZdMj5XAzFBFH2iQ,ROLLIN’,TWICE,YG,2017-10-30,0.886,0.648,4,-5.093,0,0.0413,0.0111,0.283,0.245,122.015,190898,4
38,4UPDDp4a7E7ucoXeKxDJ7U,LOVE LINE,TWICE,YG,2017-10-30,0.699,0.774,0,-4.539,1,0.232,0.0,0.108,0.511,94.987,196796,4
39,2Mg8tjWRxk2646gdHLXQM6,힘내! DON’T GIVE UP,TWICE,YG,2017-10-30,0.841,0.684,9,-5.834,1,0.0637,1.53e-05,0.122,0.427,102.994,178344,4
40,3djLu1APqP5XVbD3RewVb8,널 내게 담아 YOU IN MY HEART,TWICE,YG,2017-10-30,0.689,0.865,2,-4.169,1,0.32,0.0,0.109,0.407,102.986,208868,4
41,5q7XcT1CEHkANH9OyEfP09,잘자요 굿나잇 JALJAYO GOOD NIGHT,TWICE,YG,2017-10-30,0.73,0.4,3,-8.238,1,0.84,0.0,0.0968,0.38,133.971,262922,4
42,4QcHRRDS0ayymLybzKNZq4,Heart Shaker,TWICE,YG,2017-12-11,0.565,0.943,8,-0.532,1,0.105,0.0,0.154,0.855,164.059,186896,4
43,1HLd0BCsNY8U7cXm5oGBsy,Merry & Happy,TWICE,YG,2017-12-11,0.709,0.62,10,-4.138,1,0.425,0.0,0.0822,0.658,154.026,192571,4
44,35zeFYXPWMfi3Gqjsbqt7E,Candy Pop,TWICE,YG,2018-02-07,0.599,0.943,0,-1.457,1,0.177,2.6e-05,0.141,0.84,174.059,202010,4
45,0mXq2EXd5NHPXBclqaZfgp,BRAND NEW GIRL,TWICE,YG,2018-02-07,0.674,0.965,7,-3.754,1,0.016,9.59e-05,0.145,0.75,157.041,213956,4
46,3xTVxp0fQTm5hvUmQ1vU5C,What is Love?,TWICE,YG,2018-04-09,0.573,0.91,8,-1.578,1,0.0846,0.0,0.266,0.602,169.982,208238,4
47,2uptjpg8Me7B6iR80WwwTc,SWEET TALKER,TWICE,YG,2018-04-09,0.673,0.967,5,-2.278,0,0.0817,2.77e-06,0.133,0.826,160.018,207743,4
48,66g4bPAjZFJf22tLT5Lejn,HO!,TWICE,YG,2018-04-09,0.765,0.891,6,-2.335,0,0.0898,1e-06,0.018,0.977,160.004,189076,4
49,7qvzmtRoITomwx2XREiXyM,DEJAVU,TWICE,YG,2018-04-09,0.65,0.787,0,-4.038,1,0.0135,2.84e-06,0.109,0.526,116.789,196423,4
50,5R9uZrCcbXQnnK0K3NVkzl,SAY YES,TWICE,YG,2018-04-09,0.625,0.68,10,-3.988,1,0.233,0.0,0.226,0.399,160.014,182946,4
51,25KbobvPxx0TTv0I2a1why,Wake Me Up,TWICE,YG,2018-05-16,0.656,0.994,6,-1.47,0,0.209,0.0,0.318,0.795,125.979,211800,4
52,53JPvPxpC5IU4gYVmDLqU6,Pink Lemonade,TWICE,YG,2018-05-16,0.706,0.969,11,-2.952,0,0.0816,0.0,0.0564,0.734,128.004,220412,4
53,0Dsbej1ME76kebKBGE0ROD,I WANT YOU BACK,TWICE,YG,2018-06-15,0.713,0.848,10,-1.94,0,0.0148,0.0,0.0808,0.787,106.093,203816,4
54,76ziL4M1nP9psv11be5812,Dance The Night Away,TWICE,YG,2018-07-09,0.711,0.861,0,-2.905,1,0.106,4.4e-05,0.112,0.78,118.004,180809,4
55,29oFWbfAr0awYTQDfB2ucy,CHILLAX,TWICE,YG,2018-07-09,0.782,0.831,8,-2.805,1,0.144,0.0,0.0694,0.788,108.966,186285,4
56,0rd7r00shCMMyEKPWhF2Si,Shot thru the heart,TWICE,YG,2018-07-09,0.671,0.852,7,-2.619,1,0.0747,0.0,0.524,0.245,142.981,205064,4
57,3y3uFtfahoyM2ze5x5coKR,STUCK,TWICE,YG,2018-07-09,0.563,0.806,8,-2.721,1,0.0494,0.0,0.181,0.626,157.962,215337,4
58,6ceKChoZYLdw24Ph1CDFUJ,BDZ,TWICE,YG,2018-09-12,0.715,0.862,10,-2.718,0,0.0113,0.0,0.108,0.668,137.93,197800,4
59,67adxp0HtY8yqMz53RYopP,L.O.V.E,TWICE,YG,2018-09-12,0.806,0.858,8,-2.657,1,0.053,0.0,0.109,0.871,125.005,203040,4
60,4N1xwTGXlI6hiXlr9A6iKs,Wishing,TWICE,YG,2018-09-12,0.516,0.719,6,-3.27,1,0.16,0.0,0.0541,0.433,205.786,272493,4
61,3gwojMWTEtzx7AWAzROwNt,Say it again,TWICE,YG,2018-09-12,0.751,0.838,7,-2.794,1,0.279,0.0,0.0673,0.579,129.985,203587,4
62,4Jld19gM5PK84mfXOGpV9C,Be as ONE,TWICE,YG,2018-09-12,0.613,0.558,8,-4.185,1,0.465,0.0,0.0975,0.358,142.003,231120,4
63,3V23oYrFVc5VW1Ftq2wPCu,YES or YES,TWICE,YG,2018-11-05,0.702,0.913,11,-2.977,1,0.0514,3.71e-06,0.166,0.735,137.982,237685,4
64,0j3sXALH1d206s7v9PUdiE,SAY YOU LOVE ME,TWICE,YG,2018-11-05,0.79,0.889,9,-2.129,1,0.303,2.05e-06,0.0677,0.925,135.004,212871,4
