,Unnamed: 0,id,title,artist,company,date_released,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
31,31,4JlQgKr14Zsa4fKKIMKTvr,Mine,GOT7,JYP,2015-07-13,0.673,0.724,2,-4.86,0,0.0499,0.0115,2.37e-05,0.288,0.217,127.889,230445
32,32,1nkxGKPaWHRTx4kTgerXVU,Back To Me,GOT7,JYP,2015-07-13,0.787,0.922,3,-3.216,1,0.18,0.0293,0.0,0.35,0.889,115.042,189878
33,33,7BEqQB5ezqIhzWJpWTOkwJ,LAUGH LAUGH LAUGH,GOT7,JYP,2015-09-23,0.757,0.861,0,-3.853,1,0.114,0.0211,0.0,0.338,0.58,96.02,212400
34,34,3VmvGO8hgfqsDozXF2xBeU,BE MY GIRL,GOT7,JYP,2015-09-23,0.671,0.925,2,-4.399,1,0.0505,0.000305,0.00117,0.0528,0.675,123.011,196240
35,35,0Lw61bzbNQz9Nkw4uRlx4F,Confession Song,GOT7,JYP,2015-11-23,0.615,0.701,9,-4.258,1,0.031,0.06,0.0,0.114,0.257,94.081,212836
36,36,5JoWXOAaNnpL9N3w43itY9,Everyday,GOT7,JYP,2015-11-23,0.524,0.649,1,-7.084,0,0.214,0.348,0.0,0.111,0.566,143.985,190053
37,37,3zB5qibILA2VJzZryVFAfR,To. Star,GOT7,JYP,2015-11-23,0.626,0.708,10,-5.784,1,0.0415,0.098,0.0,0.0895,0.304,140.0,231662
38,38,72HYwYmfl6Y8AzbJO0z6vB,If You Do,GOT7,JYP,2015-11-23,0.692,0.886,8,-1.642,1,0.0766,0.0557,0.0,0.217,0.757,129.957,210834
39,39,7BL5wrRcT4lSCejvBym1Vn,Put them up,GOT7,JYP,2015-11-23,0.724,0.847,10,-2.993,0,0.0456,0.0142,0.0,0.195,0.502,99.92,188393
40,40,1oZ6e6ZWfF3sNhj8LMCP75,Feelin' Good,GOT7,JYP,2015-11-23,0.842,0.872,2,-2.825,1,0.0522,0.0606,0.0,0.0751,0.83,110.008,214160
41,41,0SL5CqcEL8xwU6COeCxYd5,GOOD,GOT7,JYP,2015-11-23,0.799,0.835,3,-3.831,0,0.0699,0.0307,0.0,0.352,0.834,119.973,189306
42,42,3T7PmlRBOG4KSZfGv9U6k2,Eyes On,GOT7,JYP,2015-11-23,0.765,0.85,5,-3.28,0,0.124,0.0719,0.0,0.0561,0.655,92.985,202944
43,43,7pV9iahT22jLH9UrLUif2a,Tic Tic Tok,GOT7,JYP,2015-11-23,0.86,0.87,10,-2.741,0,0.104,0.00883,1.04e-05,0.0876,0.687,123.013,202247
44,44,3ZTIEG9sRSw9hOj76LX3Qp,SHAKING THE WORLD,GOT7,JYP,2014,0.675,0.891,9,-4.937,0,0.0337,0.00236,3.79e-05,0.158,0.205,96.022,200693
45,45,4EBmZs5WwktX5eQyU99EhO,Yo モリアガッテ Yo,GOT7,JYP,2014,0.763,0.979,4,-2.032,0,0.0868,0.0415,0.0,0.0736,0.736,107.054,198187
46,46,59BupVWXDRRaXBXuBTJlls,GOT ur LUV,GOT7,JYP,2014,0.746,0.876,4,-3.538,0,0.0347,0.0086,0.0,0.122,0.653,100.036,204360
47,47,64q4P10tPjqMZsEKX2wfNB,JIBBERISH,GOT7,JYP,2014,0.662,0.823,4,-3.674,1,0.236,0.0204,0.0,0.102,0.609,170.042,229893
