,id,title,artist,company,date_released,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,7x5shgmSrMeIfeGIVzspPK,Milkshake,Red Velvet,SM,2019-06-19,0.526,0.765,11,-5.855,1,0.243,0.0431,4.22e-06,0.39,0.84,167.813,210696
1,6u78votmpGuKAE4BOeJtRC,Bing Bing,Red Velvet,SM,2019-06-19,0.774,0.888,10,-3.689,1,0.0641,0.106,3.84e-05,0.432,0.45,114.035,202404
2,5K8cgjL8hGTXpi5Z6uJFwe,Parade,Red Velvet,SM,2019-06-19,0.728,0.84,8,-4.206,1,0.0699,0.046,0.00131,0.579,0.715,94.954,193381
3,7AetvQATDEQxoFDsH2gRnr,LP,Red Velvet,SM,2019-06-19,0.674,0.832,5,-5.2,1,0.0894,0.0714,0.0,0.714,0.761,159.995,207837
4,5qSoW3ewNlhRN3FNZPmVns,Umpah Umpah,Red Velvet,SM,2019-08-20,0.693,0.935,7,-3.306,1,0.0771,0.0258,0.0,0.437,0.844,119.973,220131
5,5hBUsxIkIDPkBoJ7J3JuIh,Carpool,Red Velvet,SM,2019-08-20,0.711,0.823,0,-3.49,1,0.079,0.187,0.0,0.208,0.701,122.122,206757
6,6H6pp6uVW33kAm6qSBnysf,Love Is The Way,Red Velvet,SM,2019-08-20,0.831,0.633,7,-4.568,1,0.0498,0.0359,3.35e-05,0.125,0.921,119.931,211988
7,5ots8XAjbFfFm3yrqftWOF,Jumpin’,Red Velvet,SM,2019-08-20,0.731,0.839,0,-3.981,1,0.193,0.0106,0.0,0.316,0.811,148.996,215820
8,73pkNaWK4N5QfkjabwW40s,Ladies Night,Red Velvet,SM,2019-08-20,0.598,0.883,7,-3.456,1,0.0792,0.0895,0.0,0.0731,0.705,115.023,236746
9,4o6LdaI3q5QFjs0sziszsD,"Eyes Locked, Hands Locked",Red Velvet,SM,2019-08-20,0.647,0.674,10,-3.236,1,0.0441,0.624,1.47e-06,0.202,0.734,79.986,250969
10,3CYH422oy1cZNoo0GTG1TK,Psycho,Red Velvet,SM,2019-12-23,0.664,0.666,8,-2.203,1,0.0446,0.193,0.0,0.0854,0.405,139.987,210560
11,2iYnEfKsAsE86Yb9mS4b3E,In & Out,Red Velvet,SM,2019-12-23,0.568,0.804,0,-2.995,0,0.136,0.211,0.0,0.14,0.612,159.68,192707
12,2m9K7KlDOQ0NXk9xBpkuoZ,Remember Forever,Red Velvet,SM,2019-12-23,0.576,0.619,3,-3.324,1,0.0419,0.57,0.0,0.0916,0.524,149.896,187720
13,1O7qPyMtudzP3APaOT2OTH,La Rouge - Special Track,Red Velvet,SM,2019-12-23,0.614,0.842,1,-2.751,1,0.075,0.0814,0.0,0.0744,0.705,94.907,189813
14,6c1QaQHdDhtFMfUkhueuXK,Monster,Red Velvet - IRENE & SEULGI,SM,2020-07-06,0.631,0.748,4,-2.569,0,0.0488,0.212,0.0,0.537,0.351,115.665,178413
15,41vPeGMYDN84rC9FSv4BTl,Diamond,Red Velvet - IRENE & SEULGI,SM,2020-07-06,0.717,0.731,10,-3.74,0,0.0442,0.143,1e-06,0.119,0.498,91.035,196173
16,59yaVNyPDsHYGnsDTJSH67,Feel Good,Red Velvet - IRENE & SEULGI,SM,2020-07-06,0.577,0.657,7,-5.132,1,0.244,0.047,6.93e-05,0.209,0.303,97.954,193120
17,6mu2cymBOKqnp4QP0966fW,Jelly,Red Velvet - IRENE & SEULGI,SM,2020-07-06,0.621,0.919,0,-2.594,1,0.0401,0.106,5.47e-06,0.0604,0.921,168.029,192933
18,7mWe6HT5DzFuNdvbn8T7wA,Uncover (Sung by SEULGI) - Bonus Track,Red Velvet - IRENE & SEULGI,SM,2020-07-06,0.461,0.61,1,-6.276,0,0.25,0.524,2.83e-05,0.23,0.424,77.562,221957
19,0P8lbWigAHXPKxUG60xh79,Naughty,Red Velvet - IRENE & SEULGI,SM,2020-07-20,0.693,0.759,7,-2.9,1,0.208,0.055,1.36e-06,0.116,0.635,112.983,198520
20,2Oj5hRhkJH00VGzjBdQNq3,Milky Way,Red Velvet,SM,2020-08-21,0.656,0.721,8,-3.981,1,0.0477,0.393,0.0,0.124,0.74,98.019,217533
21,6SpPr7K4YQ2wp8jU6uOTmQ,Queendom,Red Velvet,SM,2021-08-16,0.695,0.896,5,-1.24,1,0.0847,0.179,0.0,0.0626,0.508,119.959,181760
22,6RTF5urAOB5C52nLxeRK5h,Pose,Red Velvet,SM,2021-08-16,0.841,0.831,10,-3.675,0,0.0526,0.0617,0.0,0.101,0.762,124.965,200680
23,0c2wKRwXpqSCBrAImEFCNf,Knock On Wood,Red Velvet,SM,2021-08-16,0.533,0.869,11,-3.396,0,0.175,0.213,0.0,0.162,0.789,106.029,220587
24,5NIjdxrVUW4GGyLIqXUw9K,Better Be,Red Velvet,SM,2021-08-16,0.756,0.667,5,-5.494,1,0.0707,0.0457,2.11e-05,0.0781,0.434,107.036,180560
25,00Cxlg96EHYJG2VoTh7Q3D,Pushin' N Pullin',Red Velvet,SM,2021-08-16,0.582,0.681,2,-3.232,0,0.0648,0.176,1.3e-05,0.0885,0.721,159.859,183360
26,3zQyl7ko8alM35mvYWmHuu,"Hello, Sunset",Red Velvet,SM,2021-08-16,0.737,0.531,11,-4.51,1,0.037,0.198,0.0,0.142,0.871,71.999,210200
27,2oBMZYteeO8DyXV9gDx6Za,Feel My Rhythm,Red Velvet,SM,2022-03-21,0.412,0.94,1,-2.171,1,0.215,0.0648,0.0,0.358,0.423,157.964,210253
28,7h5MKRZUiYDshjH5UgAbNp,Rainbow Halo,Red Velvet,SM,2022-03-21,0.644,0.821,5,-3.187,0,0.0761,0.059,0.0,0.0562,0.683,154.979,208560
