,Unnamed: 0,id,title,artist,company,date_released,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
33,33,4bfKZmzdoP3mJdAYZ8tqw7,Intro - Stand Up,BIGBANG,YG,2008-08-08,0.825,0.883,6,-4.531,1,0.0831,0.0235,0.0,0.125,0.816,116.919,97293
34,34,1L4d2lafz1odpIMe8va21X,Haru Haru,BIGBANG,YG,2008-08-08,0.687,0.914,6,-5.02,1,0.0437,0.166,0.0,0.0858,0.675,126.001,256360
35,35,6M78En84cFYQxdYABC2fZO,My Heaven,BIGBANG,YG,2008-08-08,0.642,0.874,0,-4.915,1,0.0501,0.0802,0.0,0.343,0.545,128.02,232933
36,36,72NpoBNUwJFDHMbyV2iMYv,A Good Man,BIGBANG,YG,2008-08-08,0.855,0.633,3,-6.268,0,0.0403,0.26,0.0,0.0711,0.794,124.988,206347
37,37,3CXBq32gcN5wlsg4TEPWe9,Lady,BIGBANG,YG,2008-08-08,0.81,0.884,8,-4.146,1,0.0541,0.0734,0.0,0.144,0.693,103.006,204107
38,38,3qtZyPlAqtNYVoN1ECWNJy,Oh My Friend,BIGBANG,YG,2008-08-08,0.608,0.89,9,-4.253,1,0.0624,0.00141,0.0,0.344,0.4,142.055,209920
39,39,2rl8a6C2E8xkc0zgguEUO4,Wild Wild West,BIGBANG,YG,2008-02-27,0.665,0.904,7,-4.117,0,0.125,0.54,0.0,0.944,0.623,109.889,205227
40,40,6hBqe3XuIo9TWJGdo4RTB5,Pretended (Feat. Ji-eun) (T.O.P Solo),T.O.P.,YG,2008-02-27,0.672,0.69,0,-7.64,0,0.15,0.202,0.0,0.885,0.318,85.989,306787
41,41,6S9FpxJXnMHjNlga87fhOi,Stylish (The FILA),BIGBANG,YG,2008-12-30,0.705,0.919,0,-3.897,0,0.069,0.0216,0.0,0.937,0.501,117.974,196027
42,42,3A6XBzAollv1Yi7dl53141,声をきかせて,BIGBANG,YG,2009-01-01,0.71,0.819,6,-4.717,1,0.0435,0.111,0.0,0.112,0.674,119.996,253240
