,id,title,artist,company,date_released,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,1nxMTgcScZ7afh2wKdFM2B,Romantic St.,Girls' Generation,SM,2012-01-01,0.679,0.565,1,-5.732,1,0.0364,0.8,0.0,0.0921,0.328,123.949,239720
1,2H5eBZERqJOsVyx4t7BEFu,Baby Steps,Girls' Generation-TTS,SM,2012-05-30,0.511,0.694,2,-5.204,1,0.0383,0.425,0.0,0.12,0.238,189.97,235524
2,09nl0ymAMahzq7U0PxD6xL,Checkmate,Girls' Generation-TTS,SM,2012-05-30,0.809,0.839,10,-3.006,0,0.0594,0.0476,2.58e-05,0.125,0.76,111.987,206468
3,4Gx8YNyr6v9PQ8KVk08nZf,"Good-bye, Hello",Girls' Generation-TTS,SM,2012-05-30,0.722,0.867,8,-3.09,1,0.0318,0.204,2.1e-06,0.0701,0.665,126.963,231556
4,4AY4557HuJZD9MRYaAOQu9,Library,Girls' Generation-TTS,SM,2012-05-30,0.705,0.848,3,-3.76,1,0.0437,0.0277,0.0,0.108,0.76,130.031,242308
5,4EcpexfXrmucyLEgMWsf8E,Love Sick,Girls' Generation-TTS,SM,2012-05-30,0.659,0.674,5,-4.217,1,0.037,0.567,0.0,0.199,0.586,128.01,205188
6,2CFRWCWr1Nd2oug4tF4obt,OMG (Oh My God),Girls' Generation-TTS,SM,2012-05-30,0.504,0.943,7,-1.579,1,0.25,0.11,7.03e-06,0.318,0.784,137.974,204676
7,3C8jNNWMJcsQLZZV5R3yTi,Twinkle,Girls' Generation-TTS,SM,2012-05-30,0.799,0.886,1,-2.592,0,0.0486,0.257,0.0,0.334,0.963,110.004,206852
8,7eNZS973JNO67aP8mVGU6i,The Boys,Girls' Generation,SM,2011-01-01,0.885,0.941,1,-0.587,0,0.074,0.19,0.0,0.218,0.923,114.987,226890
9,2vLhvfAjTORDMWZTupKJ4M,Telepathy,Girls' Generation,SM,2011-01-01,0.736,0.903,10,-2.11,1,0.046,0.171,1.06e-05,0.35,0.726,128.013,225560
10,7IJh4JGe9KYYcr3YZNyDcj,Say Yes,Girls' Generation,SM,2011-01-01,0.73,0.898,5,-2.522,1,0.058,0.2,1.74e-06,0.132,0.874,139.939,226667
11,13q2CNVJBB9bzrE5mEJ5fY,TRICK (Original Title : TYPICAL),Girls' Generation,SM,2011-01-01,0.667,0.891,6,-2.908,0,0.0349,0.0818,0.0,0.049,0.871,132.02,195547
12,6T2mfqFi7CWZhhAAK5p2O4,How Great Is Your Love(Original Title : Still Believe In Love),Girls' Generation,SM,2011-01-01,0.564,0.725,4,-5.334,1,0.0311,0.147,0.0,0.278,0.385,134.121,234840
13,3AwXtCAy7fLZEaZxUxD4kq,My J,Girls' Generation,SM,2011-01-01,0.792,0.849,5,-3.254,1,0.0346,0.396,0.0,0.153,0.84,121.044,233240
14,4RQuPgWPQMWKjJnZ7o8g0E,OSCAR,Girls' Generation,SM,2011-01-01,0.802,0.852,2,-2.533,0,0.0402,0.0588,1.06e-05,0.129,0.569,99.986,203027
15,2FhZTBlF18lqmtW3i8HZ6x,TOP SECRET (Original Title : Shake The Tree),Girls' Generation,SM,2011-01-01,0.76,0.862,9,-3.196,0,0.0466,0.0359,2.98e-06,0.089,0.85,124.994,179080
16,6XxbeS9RoR5R6dXikjOwF8,Lazy Girl (Dolce Far Niente) (Original Title : Crazy Girl),Girls' Generation,SM,2011-01-01,0.745,0.696,0,-3.951,1,0.0347,0.0266,0.0,0.476,0.701,137.998,185893
17,6PPYBzHZNlXYw2NQVvjAWK,Sunflower,Girls' Generation,SM,2011-01-01,0.438,0.787,7,-2.191,1,0.033,0.658,0.0,0.26,0.459,159.797,230320
18,6btJimzSN4LlUHF9b6YZec,VITAMIN,Girls' Generation,SM,2011-01-01,0.775,0.899,6,-2.154,1,0.143,0.111,0.0,0.315,0.635,129.96,189120
19,3Wwa04DhfwSGILgAusIvWI,MR. TAXI (Original Title : Mr. Taxi),Girls' Generation,SM,2011-01-01,0.86,0.936,10,-2.61,0,0.0881,0.029,0.0,0.0905,0.881,122.034,212733
20,3BrqbAYkZcJcKJFkqhaShI,Danny Boy - Studio Version,Girls' Generation,SM,2013-11-04,0.453,0.153,0,-10.065,1,0.029,0.793,0.0,0.105,0.246,104.51,229050
21,1qJ6HHAlajckYox9OghTHb,HOOT,Girls' Generation,SM,2010-01-01,0.684,0.977,7,-1.971,0,0.0561,0.0615,9.64e-06,0.843,0.925,128.063,197627
22,4dMi3YdCchWml25iyoaNH3,Mistake,Girls' Generation,SM,2010-01-01,0.6,0.639,2,-3.821,1,0.029,0.275,0.0,0.127,0.131,123.979,247027
23,0E0muFikQ5uihLMTysbAYC,My Best Friend,Girls' Generation,SM,2010-01-01,0.738,0.837,5,-2.762,1,0.0568,0.479,0.0,0.681,0.896,119.995,204920
24,5qDWIcUslIax0N2wBLVF1E,Wake Up,Girls' Generation,SM,2010-01-01,0.856,0.665,8,-2.63,1,0.077,0.0511,0.0019,0.0327,0.713,120.006,195187
25,4zOt0P3UWkYWhA9KPFVJWO,Snowy Wish,Girls' Generation,SM,2010-01-01,0.708,0.834,1,-2.572,1,0.0524,0.279,0.0,0.224,0.26,121.962,208587
26,0U9jNoTJeTxXToakhsb7pV,Run Devil Run,Girls' Generation,SM,2010-03-22,0.687,0.888,11,-2.725,0,0.146,0.0596,2.14e-05,0.181,0.791,64.927,201920
27,5WcfAYCrFnpXcj9EHhIBar,Echo,Girls' Generation,SM,2010-03-22,0.827,0.857,5,-1.939,0,0.0501,0.154,0.00367,0.121,0.887,121.029,211093
28,6VOG2ROMCklbn6SSg9mA9H,Oh!,Girls' Generation,SM,2010-01-28,0.759,0.966,2,-2.207,0,0.0416,0.0218,1.03e-05,0.229,0.44,143.987,188533
29,4wvhF9ZixVTQzlb5qAxM6A,Show! Show! Show!,Girls' Generation,SM,2010-01-28,0.753,0.961,7,-1.217,1,0.0481,0.0153,0.0272,0.209,0.879,125.513,218347
30,6ztGWS4P92wEBvhIjvQFpp,Sweet Talking Baby,Girls' Generation,SM,2011-01-01,0.756,0.831,8,-1.845,1,0.073,0.492,0.0,0.0802,0.783,121.973,210413
31,75I88aJpYEislY4tHmhn25,Forever,Girls' Generation,SM,2011-01-01,0.502,0.662,6,-4.713,0,0.0431,0.451,0.0,0.169,0.333,73.985,269933
32,3JPE9eHY4hDKlGQAsrKyHw,Be Happy,Girls' Generation,SM,2011-01-01,0.709,0.961,1,-1.895,1,0.0994,0.00544,0.0261,0.174,0.644,124.994,210693
33,03WBIHmawYzeTgsD0luRA6,Boys & Girls (Feat. Key from SHINee),Girls' Generation,SM,2011-01-01,0.751,0.92,5,-2.506,0,0.088,0.0743,0.0,0.253,0.96,130.908,226560
34,0uuIYCtiqjs0HGPwfW9CVe,Talk To Me,Girls' Generation,SM,2011-01-01,0.555,0.7,9,-5.112,1,0.0819,0.178,0.0,0.0847,0.575,85.998,207307
35,2mxXuVJIUnCr27St7NT6PV,Star Star Star(☆★☆),Girls' Generation,SM,2011-01-01,0.462,0.468,0,-5.395,1,0.0304,0.788,8.06e-06,0.204,0.358,132.602,270240
36,3hSD9tUfOD9DtxMpSYi7UL,Stick Wit U,Girls' Generation,SM,2011-01-01,0.658,0.985,9,-2.642,1,0.117,0.0548,0.00019,0.177,0.894,158.023,166667
37,6mvZMPdQW6kyzQZARBGTdQ,Day by Day,Girls' Generation,SM,2011-01-01,0.584,0.74,8,-2.809,1,0.0307,0.418,0.0,0.167,0.564,100.987,230720
38,7m48u7EC4gnCfAhwoLfbCE,Genie,Girls' Generation,SM,2009-06-25,0.76,0.843,9,-2.632,1,0.103,0.137,2.19e-06,0.7,0.757,122.988,230547
39,7kw83bSrpGoH34GP92Y9HZ,Etude,Girls' Generation,SM,2009-06-25,0.716,0.912,4,-2.678,0,0.0798,0.285,0.0,0.0996,0.631,128.009,193853
40,10XwIa6tx3OtaesTcgMWcU,Girlfriend,Girls' Generation,SM,2009-06-25,0.668,0.862,0,-3.767,1,0.0707,0.047,0.0,0.0758,0.889,74.982,199200
41,3vwCHNNoGuUPpPZcvPlLxz,Boyfriend,Girls' Generation,SM,2009-06-25,0.826,0.883,0,-3.669,1,0.0547,0.0744,7.2e-05,0.145,0.928,124.02,230573
42,35m9yksNGIAw3Mi0smwsJK,My Child,Girls' Generation,SM,2009-06-25,0.66,0.729,6,-5.888,1,0.0414,0.594,0.0,0.0955,0.534,120.001,216773
43,1OegdSRGCwdM30qbk5mnZz,One Year Later,Girls' Generation,SM,2009-06-25,0.559,0.65,11,-5.239,1,0.0275,0.448,0.0,0.123,0.234,129.886,241187
44,2BQIMF7CyLe2xAKzh74A4C,Gee,Girls' Generation,SM,2009-01-05,0.749,0.923,1,-1.014,0,0.0277,0.292,0.0,0.111,0.727,99.975,202200
45,2DT90JqDCM9HOTmMBukznE,Way to Go,Girls' Generation,SM,2009-01-05,0.419,0.962,5,-1.979,1,0.195,0.0317,0.0,0.198,0.528,179.798,183933
46,2LXGsLRNmRDBbUANxOsicK,Dear. Mom,Girls' Generation,SM,2009-01-05,0.627,0.64,3,-4.849,1,0.0402,0.514,0.0,0.145,0.432,133.97,245693
47,2cHUUBY7icbhD2eDGrBDEJ,Destiny,Girls' Generation,SM,2009-01-05,0.648,0.983,4,-2.75,0,0.0964,0.203,0.0,0.226,0.72,173.978,205907
48,30lgvwsjS4JN9fN8FhlzuQ,Let's Talk About Love,Girls' Generation,SM,2009-01-05,0.721,0.807,1,-3.559,1,0.0419,0.057,0.0,0.25,0.589,112.979,253067
49,5V7qDxOUYBT6lcowY3tqMv,Love Melody,Girls' Generation,SM,2007-12-07,0.697,0.867,11,-4.882,0,0.058,0.186,1.9e-06,0.0785,0.758,122.013,216747
50,7GxaIFqvSXvAg18ai8i0gT,Girls' Generation,Girls' Generation,SM,2007-11-01,0.639,0.961,11,-1.415,0,0.0539,0.0464,0.0,0.0866,0.761,111.997,230400
51,0Z224p1ZDeQvsq23A6evuE,Ooh La-La!,Girls' Generation,SM,2007-11-01,0.639,0.945,4,-2.529,1,0.0511,0.207,0.0,0.284,0.917,78.01,234813
52,0Ql5ZdoSerPwu6uWtM40bD,Baby Baby,Girls' Generation,SM,2007-11-01,0.695,0.874,6,-3.032,0,0.0749,0.426,0.0,0.22,0.804,95.029,191520
53,5Z7fDuIF6XYXQWvnd2GigO,Complete,Girls' Generation,SM,2007-11-01,0.542,0.625,4,-4.544,1,0.0284,0.504,0.0,0.136,0.327,80.03,236973
54,18fWwTkrIxojEC2gmVyoxS,Kissing You,Girls' Generation,SM,2007-11-01,0.75,0.817,8,-2.541,1,0.0361,0.639,0.0,0.171,0.762,117.991,199240
55,3n72zEmcFCjx41bJaViRKb,Merry-Go-Round,Girls' Generation,SM,2007-11-01,0.711,0.749,1,-4.022,1,0.0303,0.225,0.0,0.165,0.663,99.967,194853
56,08AxQ3mH3grr4YFMLy3ZE3,Tears,Girls' Generation,SM,2007-11-01,0.589,0.693,0,-4.186,1,0.0342,0.597,0.0,0.273,0.404,132.018,233467
57,3WSLv2WNgHE0BNMrHC0Jye,Tinkerbell,Girls' Generation,SM,2007-11-01,0.662,0.772,4,-3.222,1,0.0263,0.666,0.0,0.213,0.672,99.992,177187
58,3oFUrTsSshYJMCClIBMfiU,7989 (KANGTA & TAEYEON),Girls' Generation,SM,2007-11-01,0.79,0.598,5,-6.085,1,0.0295,0.42,0.0,0.0905,0.365,98.971,212520
59,43lngOMmCkkTQbL1kNyTC5,Honey,Girls' Generation,SM,2007-11-01,0.747,0.808,2,-3.218,1,0.029,0.516,0.0,0.0898,0.701,104.976,196760
60,24Gy6lVtCd8nOL2vzZiFyV,Into the New World,Girls' Generation,SM,2007-08-02,0.699,0.908,7,-2.108,1,0.0334,0.0531,0.0,0.116,0.6,108.023,267320
61,4eHSzjSlnTUUDQqDW9i3Mf,Beginning,Girls' Generation,SM,2007-08-02,0.595,0.86,4,-2.453,0,0.129,0.138,0.0,0.401,0.722,90.071,184787
62,62OII8rXFkrcXRYkTgr2Nt,Perfect for You,Girls' Generation,SM,2007-08-02,0.751,0.818,2,-3.521,1,0.0292,0.477,0.0,0.0898,0.624,104.963,197027
63,4korzAqlUymQRFPnvV61hr,Let It Rain - Studio Version,Girls' Generation,SM,2013-11-04,0.583,0.823,11,-5.426,0,0.051,0.0213,0.0,0.058,0.544,179.957,218920
