,Unnamed: 0,id,title,artist,company,date_released,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
94,94,4UNkRwQUd2KTpiWPjyTqSc,With You,EXO,SM,2018-11-02,0.623,0.74,1,-7.051,0,0.0403,0.223,0.0,0.431,0.383,134.9,188544
95,95,7kcCB7oh6X4bSoFCvrHLvG,24/7,EXO,SM,2018-11-02,0.762,0.594,0,-5.465,1,0.0481,0.1,0.0,0.123,0.337,98.025,243324
96,96,22jgvbdXMcVdvu5Lc4V4yL,Bad Dream,EXO,SM,2018-11-02,0.628,0.734,1,-5.342,0,0.0994,0.206,0.0,0.145,0.535,129.956,236557
97,97,2xy1vphGnqDD6v48WTIL3h,Damage,EXO,SM,2018-11-02,0.695,0.783,11,-4.068,1,0.151,0.192,0.0,0.0339,0.551,79.972,209866
98,98,1nhMnpxfNIIkViyCDNQvNH,Smile On My Face,EXO,SM,2018-11-02,0.703,0.596,4,-6.603,1,0.0412,0.4,0.0,0.0907,0.549,135.057,218533
99,99,4RAbhYd6P5zR877A0uLsUt,Oasis,EXO,SM,2018-11-02,0.629,0.761,0,-4.69,0,0.0557,0.0886,0.0,0.0814,0.605,144.986,194326
0,0,0yB4jrSwN0bFtFRDR5vyMj,Love Shot,EXO,SM,2018-12-13,0.689,0.678,5,-4.287,0,0.119,0.0702,0.0,0.0889,0.335,145.883,200306
1,1,4vh7bEuYAU9TtBRXwcLtn9,Trauma,EXO,SM,2018-12-13,0.801,0.756,11,-4.696,0,0.0448,0.12,0.0,0.0836,0.622,110.988,222010
2,2,1gyhtYG9OWOZvhZzDVF6lq,Wait,EXO,SM,2018-12-13,0.477,0.237,4,-10.256,0,0.0438,0.829,0.0,0.107,0.362,74.207,248768
3,3,1HWzxWJhNcBaGq53aF0ZTh,BIRD,EXO,SM,2019-11-04,0.561,0.902,1,-3.737,1,0.0768,0.0464,0.0,0.081,0.675,104.969,243192
4,4,7fK0csBoqbcgUuWGV0cpoD,Obsession,EXO,SM,2019-11-27,0.704,0.729,7,-3.851,1,0.0624,0.0024,0.0,0.218,0.71,129.992,203520
5,5,5vZU1sYp7e1osTKWIMtof5,Trouble,EXO,SM,2019-11-27,0.572,0.8,7,-4.421,1,0.137,0.321,0.0,0.511,0.767,76.022,197227
